phone_name,brand,os,inches,resolution,battery,battery_type,ram(GB),announcement_date,weight(g),storage(GB),price
Galaxy A04,Samsung,Android 12,6.5,720x1600,5000,Li-Po,4,24/08/2022,192,32,102
Galaxy A04s,Samsung,Android 12,6.5,720x1600,5000,Li-Po,4,31/08/2022,195,32,118.16
Galaxy A04e,Samsung,Android 12,6.5,720x1600,5000,Li-Po,4,21/10/2022,188,32,94
Galaxy M04,Samsung,Android 12,6.5,720x1600,5000,Li-Po,4,10/12/2022,188,64,101.988
Galaxy A14 5G,Samsung,Android 13,6.6,1080x2408,5000,Li-Po,8,4/01/2023,202,64,179
Galaxy F04,Samsung,Android 12,6.5,720x1600,5000,Li-Po,4,4/01/2023,188,64,97.08
Galaxy S23 Ultra,Samsung,Android 13,6.8,1440x3088,5000,Li-Ion,8,1/02/2023,234,256,1126.73
Galaxy S23+,Samsung,Android 13,6.6,1080x2340,4700,Li-Ion,8,1/02/2023,196,256,1039
Galaxy S23,Samsung,Android 13,6.1,1080x2340,3900,Li-Ion,8,1/02/2023,168,128,706.5
Galaxy A14,Samsung,Android 13,6.6,1080x2408,5000,Li-Po,6,28/02/2023,201,64,130.27
Galaxy M14,Samsung,Android 13,6.6,1080x2408,6000,Li-Po,6,8/03/2023,206,64,179.88
Galaxy A34,Samsung,Android 13,6.6,1080x2340,5000,Li-Po,8,14/03/2023,199,128,280.99
Galaxy A54,Samsung,Android 13,6.4,1080x2340,5000,Li-Po,8,15/03/2023,202,128,359
Galaxy M54,Samsung,Android 13,6.7,1080x2400,6000,Li-Po,8,22/03/2023,199,128,190
Galaxy F14,Samsung,Android 13,6.6,1080x2408,6000,Li-Po,6,24/03/2023,206,128,150
Galaxy A24 4G,Samsung,Android 13,6.5,1080x2340,5000,Li-Po,8,19/04/2023,195,128,176
Galaxy F54,Samsung,Android 13,6.7,1080x2400,6000,Li-Po,8,6/06/2023,199,256,380.28000000000003
Galaxy M34 5G,Samsung,Android 13,6.5,1080x2340,6000,Li-Po,8,3/07/2023,208,128,227.988
Galaxy Z Flip5,Samsung,Android 13,6.7,1080x2640,3700,Li-Po,8,26/07/2023,187,256,899
Galaxy Z Fold5,Samsung,Android 13,7.6,1812x2176,4400,Li-Po,12,26/07/2023,253,256,1498.2
Galaxy F34,Samsung,Android 13,6.5,1080x2340,6000,Li-Po,8,7/08/2023,208,128,210
